name,population,area_km2,population_density
Lesotho,2142252,30355.0,70.57328281996377
Central African Republic,4829764,622984.0,7.752629281008822
Morocco,36910558,446550.0,82.65716717052962
Sierra Leone,7976985,71740.0,111.19298856983552
Burkina Faso,20903278,272967.0,76.5780405690065
Eritrea,5352000,117600.0,45.51020408163265
Tanzania,59734213,945087.0,63.204988535447
Algeria,44700000,2381741.0,18.7677837346714
Mauritania,4649660,1030700.0,4.511167167944116
Sudan,43849269,1886068.0,23.249039271118537
Western Sahara,510713,266000.0,1.9199736842105264
Angola,32866268,1246700.0,26.36261169487447
Ivory Coast,26378275,322463.0,81.80248586659555
Tunisia,11818618,163610.0,72.23652588472588
Mali,20250834,1240192.0,16.328789413252142
Benin,12123198,112622.0,107.64502495072011
Cape Verde,555988,4033.0,137.85965782296057
Equatorial Guinea,1402985,28051.0,50.01550746853945
Uganda,45741000,241550.0,189.36452080314635
Botswana,2351625,582000.0,4.040592783505154
Burundi,11890781,27834.0,427.2034562046418
South Africa,59308690,1221037.0,48.57239379314468
Libya,6871287,1759540.0,3.9051610079907246
Mayotte,226915,374.0,606.7245989304813
Gabon,2225728,267668.0,8.315256212920483
Cameroon,26545864,475442.0,55.834074398138995
Guinea,13132792,245857.0,53.41638432096707
Seychelles,98462,452.0,217.8362831858407
British Indian Ocean Territory,3000,60.0,50.0
Madagascar,27691019,587041.0,47.170502571370655
DR Congo,108407721,2344858.0,46.23210488652191
Gambia,2416664,10689.0,226.08887641500607
Somalia,15893219,637657.0,24.92440136311528
Nigeria,206139587,923768.0,223.1508203358419
South Sudan,11193729,619745.0,18.06183026890092
Eswatini,1160164,17364.0,66.81432849573831
Egypt,102334403,1002450.0,102.08429647363958
"Saint Helena, Ascension and Tristan da Cunha",53192,394.0,135.00507614213197
Senegal,16743930,196722.0,85.11467959862141
Togo,8278737,56785.0,145.79091309324644
Kenya,53771300,580367.0,92.65051252052581
Rwanda,12952209,26338.0,491.76888905763536
Namibia,2540916,825615.0,3.0776039679511635
Liberia,5057677,111369.0,45.41368783054531
Zambia,18383956,752612.0,24.42687068502761
Niger,24206636,1267000.0,19.105474348855566
Comoros,869595,1862.0,467.0220193340494
Guinea-Bissau,1967998,36125.0,54.47745328719723
Ghana,31072945,238533.0,130.26686035055945
Chad,16425859,1284000.0,12.79272507788162
Zimbabwe,14862927,390757.0,38.03623991380832
Réunion,840974,2511.0,334.91596973317405
São Tomé and Príncipe,219161,964.0,227.3454356846473
Malawi,19129955,118484.0,161.45601937814388
Ethiopia,114963583,1104300.0,104.1053907452685
Republic of the Congo,5657000,342000.0,16.54093567251462
Djibouti,988002,23200.0,42.58629310344828
Mauritius,1265740,2040.0,620.4607843137255
Mozambique,31255435,801590.0,38.99179755236467
Colombia,50882884,1141748.0,44.565774584234
Curaçao,155014,444.0,349.1306306306306
French Guiana,254541,83534.0,3.047154452079393
Grenada,112519,344.0,327.0901162790698
Sint Maarten,40812,34.0,1200.3529411764705
Argentina,45376763,2780400.0,16.320228384405123
Turks and Caicos Islands,38718,948.0,40.84177215189873
Dominica,71991,751.0,95.8601864181092
United States Minor Outlying Islands,300,34.2,8.771929824561402
Costa Rica,5094114,51100.0,99.6891193737769
Haiti,11402533,27750.0,410.9020900900901
Barbados,287371,430.0,668.3046511627907
Honduras,9904608,112492.0,88.04722113572521
Puerto Rico,3194034,8870.0,360.09402480270575
Falkland Islands,2563,12173.0,0.21054793395218926
Saint Kitts and Nevis,53192,261.0,203.8007662835249
Saint Lucia,183629,616.0,298.09902597402595
Caribbean Netherlands,25987,328.0,79.22865853658537
Bolivia,11673029,1098581.0,10.625551506898445
Chile,19116209,756102.0,25.282579599048805
United States,329484123,9372610.0,35.15393502983694
Guadeloupe,400132,1628.0,245.78132678132678
Mexico,128932753,1964375.0,65.63550900413618
Saint Vincent and the Grenadines,110947,389.0,285.2107969151671
Bermuda,63903,54.0,1183.388888888889
Dominican Republic,10847904,48671.0,222.8822913028292
Guatemala,16858333,108889.0,154.82126752931885
Ecuador,17643060,276841.0,63.72993884576345
Martinique,378243,1128.0,335.3218085106383
Suriname,586634,163820.0,3.580966914906605
Saint Barthélemy,4255,21.0,202.61904761904762
Bahamas,393248,13943.0,28.203973319945494
Paraguay,7132530,406752.0,17.53532865234836
British Virgin Islands,30237,151.0,200.24503311258277
Brazil,212559409,8515767.0,24.960688684882996
Belize,397621,22966.0,17.313463380649655
Venezuela,28435943,916445.0,31.028531990463147
El Salvador,6486201,21041.0,308.26486383727007
Peru,32971846,1285216.0,25.654711737171027
Trinidad and Tobago,1399491,5130.0,272.80526315789473
Greenland,56367,2166086.0,0.02602251249488709
Guyana,786559,214969.0,3.6589415218008177
Jamaica,2961161,10991.0,269.4168865435356
Aruba,106766,180.0,593.1444444444444
Cayman Islands,65720,264.0,248.93939393939394
Cuba,11326616,109884.0,103.07793673328237
Uruguay,3473727,181034.0,19.18825745440083
Saint Martin,38659,53.0,729.4150943396227
Antigua and Barbuda,97928,442.0,221.55656108597285
Canada,38005238,9984670.0,3.8063589482676945
Panama,4314768,75417.0,57.21214049882652
Montserrat,4922,102.0,48.254901960784316
Nicaragua,6624554,130373.0,50.81231543341029
Saint Pierre and Miquelon,6069,242.0,25.078512396694215
United States Virgin Islands,106290,347.0,306.31123919308357
Anguilla,13452,91.0,147.82417582417582
South Korea,51780579,100210.0,516.7206765791838
Taiwan,23503349,36193.0,649.3893570579946
Jordan,10203140,89342.0,114.20317431890936
Nepal,29136808,147181.0,197.9658243930942
Thailand,69799978,513120.0,136.030515279077
Kazakhstan,18754440,2724900.0,6.882615875811957
Georgia,3714000,69700.0,53.285509325681495
Pakistan,220892331,881912.0,250.4698099130072
Armenia,2963234,29743.0,99.62794607134452
Indonesia,273523621,1904569.0,143.6144455779759
Japan,125836021,377930.0,332.9611859339031
Laos,7275556,236800.0,30.724476351351353
Lebanon,6825442,10452.0,653.0273631840796
Philippines,109581085,342353.0,320.0821520477402
Bahrain,1701583,765.0,2224.291503267974
Qatar,2881060,11586.0,248.6673571551873
Tajikistan,9537642,143100.0,66.65018867924529
China,1402112000,9706961.0,144.44397170236905
Yemen,29825968,527968.0,56.49199951512213
India,1380004385,3287590.0,419.7617053829705
Kuwait,4270563,17818.0,239.67689976428332
Syria,17500657,185180.0,94.50619397343125
Maldives,540542,300.0,1801.8066666666666
Uzbekistan,34232050,447400.0,76.51329906124273
Iran,83992953,1648195.0,50.96056777262399
Myanmar,54409794,676578.0,80.4191002367798
Sri Lanka,21919000,65610.0,334.08017070568513
Bhutan,771612,38394.0,20.09720268791999
Palestine,4803269,6220.0,772.2297427652733
Bangladesh,164689383,147570.0,1116.008558650132
Singapore,5685807,710.0,8008.178873239437
Turkey,84339067,783562.0,107.63547364471478
United Arab Emirates,9890400,83600.0,118.30622009569377
Afghanistan,40218234,652230.0,61.6626558116002
Timor-Leste,1318442,14874.0,88.64071534220788
Vietnam,97338583,331212.0,293.88603975701363
Cambodia,16718971,181035.0,92.35214737481702
Iraq,40222503,438317.0,91.76578366798459
Brunei,437483,5765.0,75.88603642671292
Kyrgyzstan,6591600,199951.0,32.96607668878875
Azerbaijan,10110116,86600.0,116.74498845265589
Hong Kong,7500700,1104.0,6794.11231884058
Malaysia,32365998,330803.0,97.84070277476323
Mongolia,3278292,1564110.0,2.0959472159886454
Saudi Arabia,34813867,2149690.0,16.194831347775725
Turkmenistan,6031187,488100.0,12.356457693095678
North Korea,25778815,120538.0,213.86463190031358
Israel,9216900,20770.0,443.76023110255176
Oman,5106622,309500.0,16.499586429725362
Macau,649342,30.0,21644.733333333334
Norway,5379475,323802.0,16.613470577698717
Greece,10715549,131990.0,81.1845518599894
Åland Islands,29458,1580.0,18.644303797468353
Switzerland,8654622,41284.0,209.63622710977617
Croatia,4047200,56594.0,71.51288122415804
Iceland,366425,103000.0,3.55752427184466
Luxembourg,632275,2586.0,244.49922660479504
Hungary,9749763,93028.0,104.80460721503204
Netherlands,16655799,41850.0,397.9880286738351
Lithuania,2794700,65300.0,42.797856049004594
Slovakia,5458827,49037.0,111.32057426025246
Liechtenstein,38137,160.0,238.35625
Moldova,2617820,33846.0,77.3450333865154
Italy,59554023,301336.0,197.63328311253883
Jersey,100800,116.0,868.9655172413793
Monaco,39244,2.02,19427.722772277226
Belarus,9398861,207600.0,45.27389691714836
Latvia,1901548,64559.0,29.454421536888738
Andorra,77265,468.0,165.09615384615384
France,67391582,551695.0,122.15369361694414
Gibraltar,33691,6.0,5615.166666666667
Denmark,5831404,43094.0,135.3182345570149
North Macedonia,2077132,25713.0,80.78139462528682
Malta,525285,316.0,1662.2943037974683
Czechia,10698896,78865.0,135.66088886071134
Guernsey,62999,78.0,807.6794871794872
Kosovo,1775378,10908.0,162.75925925925927
Svalbard and Jan Mayen,2562,61399.0,0.041727063958696395
Montenegro,621718,13812.0,45.01288734433825
Faroe Islands,48865,1393.0,35.07896625987078
Albania,2837743,28748.0,98.71097119799639
Serbia,6908224,88361.0,78.1818222971673
Ukraine,44134693,603500.0,73.13122286661144
Isle of Man,85032,572.0,148.65734265734267
Estonia,1331057,45227.0,29.430583501006037
Romania,19286123,238391.0,80.90122110314567
Bulgaria,6927288,110879.0,62.476104582472786
Germany,83240525,357114.0,233.09230385815175
Poland,37950802,312679.0,121.37304392044237
United Kingdom,67215293,242900.0,276.7200205846027
Finland,5530719,338424.0,16.342573221757323
Sweden,10353442,450295.0,22.99257597797
Vatican City,451,0.44,1025.0
Russia,144104080,17098242.0,8.42800563941018
Austria,8917205,83871.0,106.32048026135375
Cyprus,1207361,9251.0,130.51140417252188
Portugal,10305564,92090.0,111.90752524704094
Bosnia and Herzegovina,3280815,51209.0,64.06715616395556
Belgium,11555997,30528.0,378.53763757861634
Spain,47351567,505992.0,93.58165148856108
Slovenia,2100126,20273.0,103.59226557490258
San Marino,33938,61.0,556.360655737705
Ireland,4994724,70273.0,71.07600358601454
New Caledonia,271960,18575.0,14.641184387617766
Solomon Islands,686878,28896.0,23.770694905869323
Marshall Islands,59194,181.0,327.03867403314916
Vanuatu,307150,12189.0,25.198949872836163
Niue,1470,260.0,5.653846153846154
Nauru,10834,21.0,515.9047619047619
Cocos (Keeling) Islands,544,14.0,38.857142857142854
Fiji,896444,18272.0,49.06107705779335
Wallis and Futuna,11750,142.0,82.74647887323944
Cook Islands,18100,236.0,76.69491525423729
Australia,25687041,7692024.0,3.3394384884914556
Tuvalu,11792,26.0,453.53846153846155
Pitcairn Islands,56,47.0,1.1914893617021276
Christmas Island,2072,135.0,15.348148148148148
Guam,168783,549.0,307.43715846994536
Tonga,105697,747.0,141.49531459170012
Tokelau,1411,12.0,117.58333333333333
Samoa,198410,2842.0,69.81351161154117
Kiribati,119446,811.0,147.28236744759556
French Polynesia,280904,4167.0,67.41156707463404
Papua New Guinea,8947027,462840.0,19.330712557255207
Palau,18092,459.0,39.4161220043573
American Samoa,55197,199.0,277.3718592964824
Northern Mariana Islands,57557,464.0,124.04525862068965
Norfolk Island,2302,36.0,63.94444444444444
New Zealand,5084300,270467.0,18.79822677073358
Micronesia,115021,702.0,163.84757834757835
